file_path,publishable,flesch_kincaid_grade_level,gunning_fog_index,dale_chall,smog_index,table_count,table_citation_presence,table_density,no_of_columns_per_page_of_table,citation_relevance,title_abstract_consistency,presence_of_opposite_number_of_sections,reference_count,figures_to_text_ratio,equation_density,technical_jargon_score,novelty_score,interdisciplinary_impact_score
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_238.pdf,0,9.5,9.86,7.25,12.7,10,TRUE,0.833333333,7.4,0,0.816629499,2,39,0,0.010084712,0.015329693,0.494605804,0.100327122
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_239.pdf,0,5,7.66,8.72,9,0,FALSE,0,0,0,0,7,8,0,0.038575668,0.001904762,0.61925319,0.031862576
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_211.pdf,0,10.2,8.28,7.01,12.7,11,TRUE,0.578947368,7.636363636,0,0.757555932,0,13,0.000236827,0.004262877,0.017152962,0.535796475,0.244406664
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_205.pdf,0,10.5,9.61,7.46,12.5,2,TRUE,0.166666667,4,0,0,4,0,0,0.006790237,0.011918275,0.654769659,0.102424473
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_198.pdf,0,11.3,9.01,6.75,13.2,43,TRUE,1.303030303,3.395348837,0,0.541273005,1,45,7.65E-05,0.006728343,0.031852951,0.491249933,0.154850566
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_88.pdf,0,9.9,8.56,6.59,12,20,TRUE,0.487804878,3.8,0,0,2,0,0.002827582,0.006683375,0.004726536,0.459970242,0.362946058
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_167.pdf,0,9.6,9.28,6.48,12.5,0,FALSE,0,0,0,0.516073596,3,7,0,0.023193277,0.024498886,0.55443865,0.030825742
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_63.pdf,0,9,8.71,6.49,12,54,TRUE,1.588235294,2.722222222,0,0.568830244,3,72,0,0.00652676,0.024068579,0.455276581,0.002683492
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_77.pdf,0,11.2,9.41,7.21,13.6,2,TRUE,0.333333333,11,0,0.485678024,1,41,0.000533333,0.000266667,0.010943912,0.505278031,0.094743182
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_173.pdf,0,10.7,9.56,7.75,12.8,7,TRUE,1.166666667,3.857142857,0,0.509578103,2,17,0.001389661,0,0.005371531,0.351423616,0.183108285
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_359.pdf,0,11.1,9.84,6.71,13,6,TRUE,0.75,4.833333333,0,0.723714679,3,0,0,0.000762079,0.005815564,0.581357785,0.065010178
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_365.pdf,0,11.3,10.16,7.07,13.7,4,TRUE,0.307692308,11,0,0.538341984,2,33,0,0.008424994,0.005315379,0.510810308,0.038884559
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_371.pdf,0,9.7,8.32,6.43,12.7,8,FALSE,0.235294118,8.375,0,0.579699337,2,0,0.000590493,0.008266903,0.014827462,0.379045405,0.057946485
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_367.pdf,0,9.4,9.75,7.14,12.4,1,TRUE,0.066666667,11,0,0.515967309,1,26,0,0.011264794,0.015574302,0.570757634,0.055611244
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_373.pdf,0,9,9.57,6.23,11.2,1,FALSE,0.043478261,1,0,0.77089873,4,9,0,0.021786045,0.001835121,0.533582853,0.023005371
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_398.pdf,0,10.7,7.95,7.07,12.6,12,TRUE,2,5.666666667,0,0.553052146,2,45,0.002738362,0.000248942,0.03153527,0.496130927,0.273412182
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_61.pdf,0,9.2,8.6,7.45,12.1,0,FALSE,0,0,0,0.561579969,3,53,0,0.002766252,0.000444642,0.5879214,0
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_165.pdf,0,10.4,9.06,7.74,13.2,7,TRUE,1.166666667,2.571428571,0,0,2,32,0.006251699,0,0.002393299,0.473285927,0.15054468
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_171.pdf,0,10.2,8.99,6.62,13.4,38,FALSE,1.310344828,6.210526316,0,0.559234876,2,54,0,0.004813389,0.005860647,0.539234713,0.108969423
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_75.pdf,0,8.9,8.56,6.54,12.2,0,FALSE,0,0,0,0.5767726,3,51,0,0.006708457,0.00713073,0.484113994,0.106660953
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_159.pdf,0,13.4,10.78,7.64,14.9,7,TRUE,0.777777778,3.714285714,0,0,2,43,0.001737318,0.001911049,0.003701745,0.404782272,0.027208795
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_49.pdf,0,9.6,9.26,6.43,12.3,1,FALSE,0.052631579,8,0,0.543593455,3,58,0,0.006131144,0.011618118,0.511535243,0.044224487
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_213.pdf,0,8.8,8.26,6.34,11.1,0,FALSE,0,0,0,0.745606273,2,65,0.000347665,0.026190752,0.019725255,0.49539223,0.126333433
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_207.pdf,0,10.6,10.32,7.82,13.1,6,TRUE,0.75,8,0,0.525256917,1,2,0,0.001956309,0.013526808,0.613180859,0.036284126
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_206.pdf,0,9.9,8.92,6.96,12.3,1,FALSE,0.166666667,15,0,0.571027353,3,50,0,0.00416484,0.005052328,0.612669034,0.020272844
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_212.pdf,0,11.4,10.99,7.69,13,2,TRUE,0.125,5,0,0.522935301,2,49,0.001252937,0.005638215,0.011335013,0.593880925,0.153069127
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_48.pdf,0,9.9,9.53,6.44,12.3,0,FALSE,0,0,0,0.546071485,1,181,0,0.010275086,0.002813505,0.545986074,0.118935321
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_158.pdf,0,8.2,7.92,6.59,11,0,FALSE,0,0,0,0.542503975,2,0,0,0.011763097,0.016121908,0.462272816,0.030126856
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_170.pdf,0,8.5,8.39,6.76,12.3,6,TRUE,0.193548387,8.166666667,0,0.547113597,2,0,0,0.015297537,0.01558502,0.380553321,0.027433001
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_74.pdf,0,10.9,9.69,6.6,13.2,1,FALSE,0.038461538,1,0,0.485635981,2,0,8.83E-05,0.00733086,0.011355257,0.38959071,0.033740672
